GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655
GCF_000006175.1	Methanococcus voltae A3
GCF_000006605.1	Corynebacterium jeikeium K411
GCF_000006625.1	Ureaplasma parvum serovar 3 str. ATCC 700970
GCF_000006645.1	Yersinia pestis KIM10+
GCF_000006685.1	Chlamydia muridarum str. Nigg
GCF_000006725.1	Xylella fastidiosa 9a5c
GCF_000006745.1	Vibrio cholerae O1 biovar El Tor str. N16961
GCF_000006765.1	Pseudomonas aeruginosa PAO1
GCF_000006785.2	Streptococcus pyogenes M1 GAS
GCF_000006805.1	Halobacterium salinarum NRC-1
GCF_000006825.1	Pasteurella multocida subsp. multocida str. Pm70
GCF_000006845.1	Neisseria gonorrhoeae FA 1090
GCF_000006865.1	Lactococcus lactis subsp. lactis Il1403
GCF_000006885.1	Streptococcus pneumoniae TIGR4
GCF_000006905.1	Caulobacter crescentus CB15
GCF_000006945.1	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
GCF_000006965.1	Sinorhizobium meliloti 1021
GCF_000006985.1	Chlorobium tepidum TLS
GCF_000007005.1	Sulfolobus solfataricus P2
GCF_000007025.1	Rickettsia conorii str. Malish 7
GCF_000007065.1	Methanosarcina mazei Go1
GCF_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis MB4
GCF_000007105.1	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821
GCF_000007125.1	Brucella melitensis bv. 1 str. 16M
GCF_000007145.1	Xanthomonas campestris pv. campestris str. ATCC 33913
GCF_000007165.1	Xanthomonas axonopodis pv. citri str. 306
GCF_000007205.1	Chlamydophila pneumoniae TW-183
GCF_000007245.1	Xylella fastidiosa Temecula1
GCF_000007265.1	Streptococcus agalactiae 2603V/R
GCF_000007305.1	Pyrococcus furiosus DSM 3638
GCF_000007325.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
GCF_000007345.1	Methanosarcina acetivorans C2A
GCF_000007365.1	Buchnera aphidicola str. Sg (Schizaphis graminum)
GCF_000007385.1	Xanthomonas oryzae pv. oryzae KACC 10331
GCF_000007465.2	Streptococcus mutans UA159
GCF_000007485.1	Tropheryma whipplei str. Twist
GCF_000007525.1	Bifidobacterium longum NCC2705
GCF_000007565.2	Pseudomonas putida KT2440
GCF_000007585.1	Porphyromonas gingivalis W83
GCF_000007605.1	Chlamydophila caviae GPIC
GCF_000007625.1	Clostridium tetani E88
GCF_000007645.1	Staphylococcus epidermidis ATCC 12228
GCF_000007665.1	Leifsonia xyli subsp. xyli str. CTCB07
GCF_000007685.1	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130
GCF_000007705.1	Chromobacterium violaceum ATCC 12472
GCF_000007725.1	Buchnera aphidicola str. Bp (Baizongia pistaciae)
GCF_000007745.1	Mannheimia succiniciproducens MBEL55E
GCF_000007765.1	Coxiella burnetii RSA 493
GCF_000007785.1	Enterococcus faecalis V583
GCF_000007805.1	[Pseudomonas syringae] pv. tomato str. DC3000
GCF_000007825.1	Bacillus cereus ATCC 14579
GCF_000007845.1	Bacillus anthracis str. Ames
GCF_000007865.1	Mycobacterium avium subsp. paratuberculosis K-10
GCF_000007905.1	Helicobacter hepaticus ATCC 51449
GCF_000007925.1	Prochlorococcus marinus subsp. marinus str. CCMP1375
GCF_000007945.1	Haemophilus ducreyi 35000HP
GCF_000007985.2	Geobacter sulfurreducens PCA
GCF_000008005.1	Bacillus cereus ATCC 10987
GCF_000008025.1	Wolbachia endosymbiont of Drosophila melanogaster
GCF_000008045.1	Rickettsia typhi str. Wilmington
GCF_000008065.1	Lactobacillus johnsonii NCC 533
GCF_000008125.1	Thermus thermophilus HB27
GCF_000008185.1	Treponema denticola ATCC 35405
GCF_000008205.1	Mycoplasma hyopneumoniae J
GCF_000008245.1	Mycoplasma synoviae 53
GCF_000008265.1	Picrophilus torridus DSM 9790
GCF_000008285.1	Listeria monocytogenes serotype 4b str. F2365
GCF_000008305.1	Mesoplasma florum L1
GCF_000008325.1	Methylococcus capsulatus str. Bath
GCF_000008345.1	Propionibacterium acnes KPA171202
GCF_000008365.1	Mycoplasma mobile 163K
GCF_000008385.1	Wolbachia endosymbiont strain TRS of Brugia malayi
GCF_000008425.1	Bacillus licheniformis DSM 13 = ATCC 14580
GCF_000008465.1	Idiomarina loihiensis L2TR
GCF_000008485.1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
GCF_000008525.1	Helicobacter pylori 26695
GCF_000008545.1	Thermotoga maritima MSB8
GCF_000008565.1	Deinococcus radiodurans R1
GCF_000008585.1	Mycobacterium tuberculosis CDC1551
GCF_000008605.1	Treponema pallidum subsp. pallidum str. Nichols
GCF_000008625.1	Aquifex aeolicus VF5
GCF_000008645.1	Methanothermobacter thermautotrophicus str. Delta H
GCF_000008665.1	Archaeoglobus fulgidus DSM 4304
GCF_000008685.2	Borrelia burgdorferi B31
GCF_000008725.1	Chlamydia trachomatis D/UW-3/CX
GCF_000008765.1	Clostridium acetobutylicum ATCC 824
GCF_000008785.1	Helicobacter pylori J99
GCF_000008805.1	Neisseria meningitidis MC58
GCF_000008885.1	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
GCF_000008925.1	Lactobacillus salivarius UCC118
GCF_000008985.1	Francisella tularensis subsp. tularensis SCHU S4
GCF_000009005.1	Staphylococcus aureus RF122
GCF_000009025.1	Dehalococcoides mccartyi CBDB1
GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
GCF_000009125.1	Ralstonia solanacearum GMI1000
GCF_000009145.1	Nitrosomonas europaea ATCC 19718
GCF_000009165.1	Xanthomonas campestris pv. vesicatoria str. 85-10
GCF_000009185.1	Haloquadratum walsbyi DSM 16790
GCF_000009205.1	Clostridioides difficile 630
GCF_000009225.2	Pseudomonas fluorescens SBW25
GCF_000009285.1	Ralstonia eutropha H16
GCF_000009305.1	Helicobacter acinonychis str. Sheeba
GCF_000009345.1	Yersinia enterocolitica subsp. enterocolitica 8081
GCF_000009365.1	Alcanivorax borkumensis SK2
GCF_000009405.1	Staphylococcus carnosus subsp. carnosus TM300
GCF_000009425.1	Lactococcus lactis subsp. cremoris MG1363
GCF_000009485.1	Burkholderia cenocepacia J2315
GCF_000009545.1	Streptococcus uberis 0140J
GCF_000009605.1	Buchnera aphidicola str. APS (Acyrthosiphon pisum)
GCF_000009625.1	Mesorhizobium loti MAFF303099
GCF_000009685.1	Clostridium perfringens str. 13
GCF_000009705.1	Nostoc sp. PCC 7120
GCF_000009725.1	Synechocystis sp. PCC 6803
GCF_000009745.1	Vibrio vulnificus YJ016
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893
GCF_000009785.1	Geobacillus kaustophilus HTA426
GCF_000009805.1	Nocardia farcinica IFM 10152
GCF_000009825.1	Bacillus clausii KSM-K16
GCF_000009845.1	Onion yellows phytoplasma OY-M
GCF_000009865.1	Staphylococcus haemolyticus JCSC1435
GCF_000009885.1	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044
GCF_000009905.1	Symbiobacterium thermophilum IAM 14863
GCF_000009925.1	Bacteroides fragilis YCH46
GCF_000009945.1	Chlamydia felis Fe/C-56
GCF_000009965.1	Thermococcus kodakarensis KOD1
GCF_000009985.1	Magnetospirillum magneticum AMB-1
GCF_000010005.1	Lactobacillus reuteri JCM 1112
GCF_000010045.1	Desulfitobacterium hafniense Y51
GCF_000010065.1	Synechococcus elongatus PCC 6301
GCF_000010085.1	Sodalis glossinidius str. 'morsitans'
GCF_000010105.1	Rhodococcus erythropolis PR4
GCF_000010125.1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
GCF_000010145.1	Lactobacillus fermentum IFO 3956
GCF_000010165.1	Brevibacillus brevis NBRC 100599
GCF_000010185.1	Finegoldia magna ATCC 29328
GCF_000010205.1	Orientia tsutsugamushi str. Ikeda
GCF_000010225.1	Corynebacterium glutamicum R
GCF_000010265.1	Clostridium kluyveri NBRC 12016
GCF_000010285.1	Kocuria rhizophila DC2201
GCF_000010305.1	Gemmatimonas aurantiaca T-27
GCF_000010325.1	Nitratiruptor sp. SB155-2
GCF_000010345.1	Sulfurovum sp. NBC37-1
GCF_000010405.1	Candidatus Vesicomyosocius okutanii HA
GCF_000010425.1	Bifidobacterium adolescentis ATCC 15703
GCF_000010525.1	Azorhizobium caulinodans ORS 571
GCF_000010545.1	Burkholderia multivorans ATCC 17616
GCF_000010585.1	Macrococcus caseolyticus JCSC5402
GCF_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350
