	s	c	o	f	n
GCF_000195295.1_ASM19529v1_protein.faa.named.faa	0.66	0.17	0.3	0.39	0.5
GCF_000020945.1_ASM2094v1_protein.faa.named.faa	0.28	0.04	0.04	0.05	0.24
GCF_000148685.1_ASM14868v1_protein.faa.named.faa	0.0	0.17	0.32	0.5	0.77
GCF_000828475.1_ASM82847v1_protein.faa.named.faa	0.1	0.17	0.38	0.61	0.71
GCF_000758545.1_ASM75854v1_protein.faa.named.faa	0.1	0.03	0.37	0.34	0.45
GCF_000981525.1_L_piscium_protein.faa.named.faa	0.01	0.02	0.13	0.05	0.15
GCF_000008525.1_ASM852v1_protein.faa.named.faa	0.14	0.04	0.15	0.39	0.39
GCF_001484685.1_ASM148468v1_protein.faa.named.faa	0.35	0.07		0.06	0.34
GCF_000967425.1_ASM96742v1_protein.faa.named.faa	0.16	0.04	0.45	0.77	0.76
GCF_000091725.1_ASM9172v1_protein.faa.named.faa	0.04	0.03	0.21	0.19	0.53
GCF_000018065.1_ASM1806v1_protein.faa.named.faa	0.13	0.06	0.69	0.33	0.49
GCF_001543285.1_ASM154328v1_protein.faa.named.faa	0.38	0.03	0.04	0.02	0.11
GCF_001190755.1_ASM119075v1_protein.faa.named.faa	0.37	0.09	0.14	0.71	0.44
GCF_000010225.1_ASM1022v1_protein.faa.named.faa	0.28	0.0	0.38	0.23	0.48
GCF_000800825.1_ASM80082v1_protein.faa.named.faa	0.07	0.01	0.38	0.34	0.49
GCF_000011205.1_ASM1120v1_protein.faa.named.faa	0.32	0.04	0.39	0.2	0.56
GCF_000187005.1_ASM18700v1_protein.faa.named.faa	0.31	0.04	0.25	0.53	0.62
GCF_000046705.1_ASM4670v1_protein.faa.named.faa	0.04	0.01	0.09	0.16	0.32
GCF_000017665.1_ASM1766v1_protein.faa.named.faa	0.11	0.07	0.27	0.33	0.61
GCF_000007665.1_ASM766v1_protein.faa.named.faa	0.39	0.26	0.21	0.38	0.33
GCF_001578185.1_ASM157818v1_protein.faa.named.faa	0.11	0.05	0.39	0.31	0.63
GCF_000014345.1_ASM1434v1_protein.faa.named.faa	0.0	0.02	0.17	0.38	0.3
GCF_000012225.1_ASM1222v1_protein.faa.named.faa	0.0	0.07	0.02	0.03	0.01
GCF_000240075.2_ASM24007v2_protein.faa.named.faa	0.01	0.04	0.12	0.49	0.45
GCF_000007765.1_ASM776v1_protein.faa.named.faa	0.09	0.02	0.04	0.09	0.31
GCF_000010725.1_ASM1072v1_protein.faa.named.faa	0.05	0.07	0.58	0.66	0.81
GCF_000221185.1_ASM22118v1_protein.faa.named.faa	0.48	0.13		0.01	0.3
GCF_000147075.1_ASM14707v1_protein.faa.named.faa	0.05	0.08	0.47	0.16	0.37
GCF_000019145.1_ASM1914v1_protein.faa.named.faa	0.09	0.03	0.33	0.69	0.69
GCF_001548055.1_ASM154805v1_protein.faa.named.faa	0.35	0.11	0.56	0.73	0.68
GCF_001518795.1_ASM151879v1_protein.faa.named.faa	0.17	0.0	0.05	0.27	0.08
GCF_000092645.1_ASM9264v1_protein.faa.named.faa	0.13	0.05	0.33	0.38	0.65
GCF_000016125.1_ASM1612v1_protein.faa.named.faa	0.34	0.9	0.37	0.06	0.31
GCF_000024345.1_ASM2434v1_protein.faa.named.faa	0.07	0.03	0.34	0.22	0.71
GCF_001611855.1_ASM161185v1_protein.faa.named.faa	0.16	0.02	0.44	0.22	0.72
GCF_000194805.1_ASM19480v1_protein.faa.named.faa	0.15	0.04	0.25	0.71	0.72
GCF_000018825.1_ASM1882v1_protein.faa.named.faa	0.17	0.05	0.46	0.36	0.68
GCF_000283515.1_ASM28351v1_protein.faa.named.faa	0.23	0.02	0.34	0.7	0.72
GCF_000025905.1_ASM2590v1_protein.faa.named.faa	0.12	0.06	0.62	0.52	0.64
GCF_000017165.1_ASM1716v1_protein.faa.named.faa	0.35	0.9	0.35	0.05	0.31
GCF_000599545.1_ASM59954v1_protein.faa.named.faa	0.08	0.08	0.34	0.23	0.72
GCF_000185985.2_ASM18598v2_protein.faa.named.faa	0.13	0.02	0.24	0.09	0.34
GCF_000739085.1_ASM73908v1_protein.faa.named.faa	0.02	0.03	0.32	0.21	0.72
GCF_000008425.1_ASM842v1_protein.faa.named.faa	0.14	0.01	0.32	0.37	0.59
GCF_001006005.1_ASM100600v1_protein.faa.named.faa	0.15	0.06	0.36	0.62	0.72
GCF_000166395.1_ASM16639v1_protein.faa.named.faa	0.1	0.04	0.33	0.35	0.56
GCF_000012365.1_ASM1236v1_protein.faa.named.faa	0.17	0.04	0.4	0.44	0.75
GCF_001597285.1_ASM159728v1_protein.faa.named.faa	0.13	0.03	0.29	0.73	0.69
GCF_000009285.1_ASM928v2_protein.faa.named.faa	0.1	0.05	0.41	0.76	0.77
GCF_000359525.1_ASM35952v1_protein.faa.named.faa	0.1	0.02	0.31	0.22	0.7
GCF_001042635.1_ASM104263v1_protein.faa.named.faa	0.02	0.01	0.15	0.03	0.16
GCF_001011055.1_ASM101105v1_protein.faa.named.faa	0.26	0.07	0.16	0.48	0.58
GCF_000479315.1_ASM47931v1_protein.faa.named.faa	0.18	0.07	0.02	0.0	0.08
GCF_001687665.2_ASM168766v2_protein.faa.named.faa	0.07	0.02	0.34	0.34	0.49
GCF_000304315.1_Msp_SC2_protein.faa.named.faa	0.22	0.26	0.55	0.62	0.82
GCF_000177195.2_ASM17719v2_protein.faa.named.faa	0.05	0.02	0.32	0.19	0.7
GCF_000024465.1_ASM2446v1_protein.faa.named.faa	0.03	0.06	0.3	0.4	0.66
GCF_001477655.1_ASM147765v1_protein.faa.named.faa	0.34	0.82	0.33	0.06	0.31
GCF_000010985.1_ASM1098v1_protein.faa.named.faa	0.31	0.1	0.01	0.61	0.51
GCF_000267545.1_ASM26754v1_protein.faa.named.faa	0.05	0.07	0.36	0.79	0.6
GCF_000070465.1_ASM7046v1_protein.faa.named.faa	0.14	0.05	0.3	0.47	0.68
GCF_000024325.1_ASM2432v1_protein.faa.named.faa	0.69	0.11	0.26	0.48	0.42
