id	sulfur	carbon	oxygen	iron	nitrogen	S_ROC	C_ROC	N_ROC	O_ROC	Fe_ROC
GCF_000005825.2	2.137	2.637	3.548	3.583	12.432	0	0	0	0	0
GCF_000005845.2	2.123	5.942	2.9560000000000004	6.065	14.562000000000001	0	0	0	0	0
GCF_000006175.1	5.75	71.467	3.563	0.6609999999999999	6.619	0	1	0	0	0
GCF_000006605.1	-3.0810000000000004	0.8390000000000001	3.7230000000000003	2.287	8.25	0	0	0	0	0
GCF_000006625.1	-0.8059999999999999	-0.8859999999999999	0.01	-0.035	-0.171	0	0	0	0	0
GCF_000006645.1	0.212	4.556	2.846	5.018	14.765999999999998	0	0	0	0	0
GCF_000006685.1	-0.335	-0.7709999999999999	0.071	0.59	1.334	0	0	0	0	0
GCF_000006725.1	-0.594	3.68	4.131	4.487	12.667	0	0	0	0	0
GCF_000006745.1	0.37799999999999995	3.2960000000000003	2.7430000000000003	8.058	11.555	0	0	0	0	0
GCF_000006765.1	0.882	3.727	4.248	8.36	16.282	0	0	1	0	0
GCF_000006785.2	-1.649	0.8190000000000001	0.33799999999999997	0.21600000000000003	0.634	0	0	0	0	0
GCF_000006805.1	1.839	4.283	0.62	2.653	9.873	0	0	1	0	0
GCF_000006825.1	2.952	1.2570000000000001	-0.013999999999999999	5.155	6.664	0	0	0	0	0
GCF_000006845.1	0.099	2.063	0.9279999999999999	3.012	10.204	0	0	0	0	0
GCF_000006865.1	-0.13699999999999998	1.7009999999999998	1.518	0.607	3.443	0	0	0	0	0
GCF_000006885.1	-1.147	-0.214	0.5	0.609	2.0980000000000003	0	0	0	0	0
GCF_000006905.1	-1.225	2.5610000000000004	3.853	4.687	14.767000000000001	0	0	0	0	0
GCF_000006945.1	3.589	5.843999999999999	2.019	5.671	14.280999999999999	0	0	0	0	0
GCF_000006965.1	0.012	9.698	6.209	7.792000000000001	18.21	0	0	1	0	0
GCF_000006985.1	10.978	9.222999999999999	4.713	3.6189999999999998	12.064	1	0	1	0	0
GCF_000007005.1	5.073	3.568	2.56	2.136	11.828	1	0	0	0	0
GCF_000007025.1	0.41700000000000004	1.371	1.858	3.9339999999999997	6.7829999999999995	0	0	0	0	0
GCF_000007065.1	5.582000000000001	78.605	4.673	2.254	10.587	0	1	0	0	0
GCF_000007085.1	2.926	7.306	0.86	1.117	7.039	0	0	0	0	0
GCF_000007105.1	-1.065	6.159	5.132000000000001	3.758	9.804	0	0	0	0	0
GCF_000007125.1	-0.261	1.7790000000000001	3.7030000000000003	4.007	13.880999999999998	0	0	0	0	0
GCF_000007145.1	-1.6669999999999998	3.696	3.5980000000000003	5.669	15.196	0	0	0	0	0
GCF_000007165.1	-2.102	3.5260000000000002	3.852	5.669	15.040999999999999	0	0	0	0	0
GCF_000007205.1	-0.384	-0.902	0.221	0.509	1.564	0	0	0	0	0
GCF_000007245.1	-0.442	4.705	4.131	4.487	12.955	0	0	0	0	0
GCF_000007265.1	-1.757	0.044000000000000004	0.425	1.087	1.276	0	0	0	0	0
GCF_000007305.1	7.441	10.35	1.281	0.297	7.367000000000001	1	0	0	0	0
GCF_000007325.1	-0.124	2.802	1.875	0.64	4.33	0	0	0	0	0
GCF_000007345.1	5.417000000000001	78.779	4.5889999999999995	2.553	11.811	1	1	0	0	0
GCF_000007365.1	2.181	1.696	1.527	1.078	5.893	0	0	0	0	0
GCF_000007385.1	-2.075	3.299	3.1860000000000004	4.678	14.107000000000001	0	0	0	0	0
GCF_000007465.2	-1.218	-0.032	1.04	0.695	3.284	0	0	0	0	0
GCF_000007485.1	-0.986	-0.635	2.3169999999999997	2.593	3.9760000000000004	0	0	0	0	0
GCF_000007525.1	0.615	0.7559999999999999	1.413	0.006999999999999999	2.6630000000000003	0	0	0	0	0
GCF_000007565.2	1.426	2.8539999999999996	3.4419999999999997	5.17	15.57	0	0	0	0	0
GCF_000007585.1	-0.063	-0.254	-0.652	4.9319999999999995	4.333	0	0	0	0	0
GCF_000007605.1	-0.201	-0.7909999999999999	0.36700000000000005	0.509	1.38	0	0	0	0	0
GCF_000007625.1	0.628	6.965	0.302	1.1640000000000001	5.871	0	0	0	0	0
GCF_000007645.1	1.652	0.488	2.573	2.165	8.811	0	0	0	0	0
GCF_000007665.1	-2.542	-1.6880000000000002	2.207	4.026	7.352	0	0	0	0	0
GCF_000007685.1	0.858	2.419	3.589	4.206	13.839	0	0	0	0	0
GCF_000007705.1	-0.642	3.83	4.57	5.619	15.29	0	0	0	0	0
GCF_000007725.1	2.2969999999999997	2.0980000000000003	1.527	1.078	6.24	0	0	0	0	0
GCF_000007745.1	3.181	3.636	1.8359999999999999	6.167999999999999	8.847999999999999	0	0	0	0	0
GCF_000007765.1	1.371	1.39	0.39899999999999997	0.9259999999999999	6.847	0	0	0	0	0
GCF_000007785.1	0.6940000000000001	1.379	0.225	0.607	4.071000000000001	0	0	0	0	0
GCF_000007805.1	-0.997	3.9619999999999997	4.246	2.215	15.664000000000001	0	0	0	0	0
GCF_000007825.1	2.6460000000000004	1.996	3.835	3.7260000000000004	13.763	0	0	0	0	0
GCF_000007845.1	2.195	4.626	3.989	3.7260000000000004	14.21	0	0	0	0	0
GCF_000007865.1	2.758	2.888	4.484	2.165	15.347999999999999	0	0	0	0	0
GCF_000007905.1	3.488	2.7539999999999996	0.5660000000000001	6.669	9.619	0	0	0	0	0
GCF_000007925.1	1.902	4.774	7.441	3.4210000000000003	10.472999999999999	0	0	0	1	0
GCF_000007945.1	3.638	1.6230000000000002	0.131	4.461	5.653	0	0	0	0	0
GCF_000007985.2	5.349	10.390999999999998	5.546	9.136000000000001	16.557000000000002	1	0	0	0	0
GCF_000008005.1	1.726	2.9789999999999996	4.283	3.7260000000000004	13.954	0	0	0	0	0
GCF_000008025.1	0.7909999999999999	2.412	1.784	3.7039999999999997	7.0489999999999995	0	0	0	0	0
GCF_000008045.1	0.048	1.032	1.858	3.978	6.501	0	0	0	0	0
GCF_000008065.1	-1.197	0.42700000000000005	0.8140000000000001	-0.43799999999999994	1.4469999999999998	0	0	0	0	0
GCF_000008125.1	4.351	3.705	3.903	4.298	14.152999999999999	0	0	1	0	0
GCF_000008185.1	0.355	1.026	0.107	0.865	3.17	0	0	0	0	0
GCF_000008205.1	-0.153	-0.605	0.01	0.162	0.23	0	0	0	0	0
GCF_000008245.1	-0.7190000000000001	-0.894	0.002	-0.177	-0.171	0	0	0	0	0
GCF_000008265.1	1.9240000000000002	2.545	1.89	2.5269999999999997	10.867	0	0	0	0	0
GCF_000008285.1	-0.129	1.554	2.8710000000000004	1.4340000000000002	6.367000000000001	0	0	0	0	0
GCF_000008305.1	-0.7859999999999999	-0.755	-0.14	-0.035	0.418	0	0	0	0	0
GCF_000008325.1	4.14	18.303	6.648	7.768	19.03	0	1	1	0	0
GCF_000008345.1	1.791	1.784	1.633	3.735	11.796	0	0	0	0	0
GCF_000008365.1	-0.555	-0.8859999999999999	0.01	-0.177	-0.115	0	0	0	0	0
GCF_000008385.1	0.9540000000000001	1.3630000000000002	1.411	3.785	6.834	0	0	0	0	0
GCF_000008425.1	2.289	0.436	3.424	3.8680000000000003	13.132	0	0	0	0	0
GCF_000008465.1	-1.264	1.538	2.6010000000000004	5.0969999999999995	8.787	0	0	0	0	0
GCF_000008485.1	0.8909999999999999	1.8230000000000002	1.818	6.45	10.134	0	0	0	0	0
GCF_000008525.1	2.287	2.997	1.6019999999999999	4.08	8.692	0	0	0	0	0
GCF_000008545.1	2.698	5.169	1.55	1.052	7.144	1	0	0	0	0
GCF_000008565.1	0.6970000000000001	4.303	3.8510000000000004	3.762	14.362	0	0	0	0	0
GCF_000008585.1	-0.8759999999999999	3.075	3.48	2.073	15.33	0	0	0	0	0
GCF_000008605.1	0.6459999999999999	-0.204	0.493	0.19	1.0170000000000001	0	0	0	0	0
GCF_000008625.1	7.117000000000001	6.233	4.7410000000000005	7.031000000000001	12.720999999999998	1	0	0	0	0
GCF_000008645.1	5.653	77.383	4.526	0.43799999999999994	8.295	0	1	0	0	0
GCF_000008665.1	9.599	34.26	3.175	4.699	9.915	1	0	0	0	0
GCF_000008685.2	-0.792	-0.359	0.575	-0.154	0.5529999999999999	0	0	0	0	0
