
	carbon	oxygen	iron	nitrogen
GCF_000005825.2	2.137	2.637	3.548	3.583	12.432
GCF_000005845.2	2.123	5.942	2.956	6.065	14.562
GCF_000006175.1	5.750	71.467	3.563	0.661	6.619
GCF_000006605.1	-3.081	0.839	3.723	2.287	8.250
GCF_000006625.1	-0.806	-0.886	0.010	-0.035	-0.171
GCF_000006645.1	0.212	4.556	2.846	5.018	14.766
GCF_000006685.1	-0.335	-0.771	0.071	0.590	1.334
GCF_000006725.1	-0.594	3.680	4.131	4.487	12.667
GCF_000006745.1	0.378	3.296	2.743	8.058	11.555
GCF_000006765.1	0.882	3.727	4.248	8.360	16.282
GCF_000006785.2	-1.649	0.819	0.338	0.216	0.634
GCF_000006805.1	1.839	4.283	0.620	2.653	9.873
GCF_000006825.1	2.952	1.257	-0.014	5.155	6.664
GCF_000006845.1	0.099	2.063	0.928	3.012	10.204
GCF_000006865.1	-0.137	1.701	1.518	0.607	3.443
GCF_000006885.1	-1.147	-0.214	0.500	0.609	2.098
GCF_000006905.1	-1.225	2.561	3.853	4.687	14.767
GCF_000006945.1	3.589	5.844	2.019	5.671	14.281
GCF_000006965.1	0.012	9.698	6.209	7.792	18.210
GCF_000006985.1	10.978	9.223	4.713	3.619	12.064
GCF_000007005.1	5.073	3.568	2.560	2.136	11.828
GCF_000007025.1	0.417	1.371	1.858	3.934	6.783
GCF_000007065.1	5.582	78.605	4.673	2.254	10.587
GCF_000007085.1	2.926	7.306	0.860	1.117	7.039
GCF_000007105.1	-1.065	6.159	5.132	3.758	9.804
GCF_000007125.1	-0.261	1.779	3.703	4.007	13.881
GCF_000007145.1	-1.667	3.696	3.598	5.669	15.196
GCF_000007165.1	-2.102	3.526	3.852	5.669	15.041
GCF_000007205.1	-0.384	-0.902	0.221	0.509	1.564
GCF_000007245.1	-0.442	4.705	4.131	4.487	12.955
GCF_000007265.1	-1.757	0.044	0.425	1.087	1.276
GCF_000007305.1	7.441	10.350	1.281	0.297	7.367
GCF_000007325.1	-0.124	2.802	1.875	0.640	4.330
GCF_000007345.1	5.417	78.779	4.589	2.553	11.811
GCF_000007365.1	2.181	1.696	1.527	1.078	5.893
GCF_000007385.1	-2.075	3.299	3.186	4.678	14.107
GCF_000007465.2	-1.218	-0.032	1.040	0.695	3.284
GCF_000007485.1	-0.986	-0.635	2.317	2.593	3.976
GCF_000007525.1	0.615	0.756	1.413	0.007	2.663
GCF_000007565.2	1.426	2.854	3.442	5.170	15.570
GCF_000007585.1	-0.063	-0.254	-0.652	4.932	4.333
GCF_000007605.1	-0.201	-0.791	0.367	0.509	1.380
GCF_000007625.1	0.628	6.965	0.302	1.164	5.871
GCF_000007645.1	1.652	0.488	2.573	2.165	8.811
GCF_000007665.1	-2.542	-1.688	2.207	4.026	7.352
GCF_000007685.1	0.858	2.419	3.589	4.206	13.839
GCF_000007705.1	-0.642	3.830	4.570	5.619	15.290
GCF_000007725.1	2.297	2.098	1.527	1.078	6.240
GCF_000007745.1	3.181	3.636	1.836	6.168	8.848
GCF_000007765.1	1.371	1.390	0.399	0.926	6.847
GCF_000007785.1	0.694	1.379	0.225	0.607	4.071
GCF_000007805.1	-0.997	3.962	4.246	2.215	15.664
GCF_000007825.1	2.646	1.996	3.835	3.726	13.763
GCF_000007845.1	2.195	4.626	3.989	3.726	14.210
GCF_000007865.1	2.758	2.888	4.484	2.165	15.348
GCF_000007905.1	3.488	2.754	0.566	6.669	9.619
GCF_000007925.1	1.902	4.774	7.441	3.421	10.473
GCF_000007945.1	3.638	1.623	0.131	4.461	5.653
GCF_000007985.2	5.349	10.391	5.546	9.136	16.557
GCF_000008005.1	1.726	2.979	4.283	3.726	13.954
GCF_000008025.1	0.791	2.412	1.784	3.704	7.049
GCF_000008045.1	0.048	1.032	1.858	3.978	6.501
